K	L	M
24.56	21.77	23.86
27.68	20.72	29.31
27.03	17.93	19.61
23.99	27.54	25.68
25.22	25.36	25.34
17.9	13.72	17.54
30.54	15.45	15.44
32.26	10.76	22.85
23.04	12.41	25.66
19.74	13.88	23.4
14.24	26.97	26.87
17.44	17.34	30.9
23.12	15.14	13.43
14.5	19.44	28.45
18.8	19.94	28.6
21.01	25.36	24.54
15.82	18.28	27.34
23.79	20.45	27.48
25.08	12.62	20.06
29.73	17.78	33.07
16.85	20.12	16.63
15.02	19.09	17.56
20.61	14.59	14.12
17.56	14.31	17.96
17.93	19.28	21.78
17.23	24.21	14.18
25.41	19.36	23.79
21.66	23.43	17.81
23.74	9.32	19.97
24.09	22.66	30.81
17.07	29.29	16.67
28.43	14.67	20.3
17.62	23.53	16.24
20.36	21.77	27.46
31.09	31.87	20.49
15.06	11.18	24.96
25.14	13.16	23.44
18.27	9.43	32.62
23.59	18.05	26.22
20.64	27.11	25.54
32.78	25.01	23.8
18.8	14.81	19
28.87	32.94	24.16
28.19	21.22	29.26
19.23	21.56	27.88
29.09	27.36	22.62
22.96	23.14	16.73
26.96	19.02	22.34
17.85	23.23	24.18
18.24	22.05	19.58
19.47	21.27	21.91
13.65	6.2	16.79
19.16	29.38	14.67
25.12	9.61	21.78
17	21.68	29.34
20.88	19.58	23.17
20.05	5.08	24.19
20.81	26.88	23.33
19.34	29.23	19.98
23.55	23.73	22.08
20.75	22.41	18.64
20.59	18.64	27.24
25.07	31.85	19.42
14.99	8.39	30.06
16.31	10.77	8.91
31.89	29.15	12.47
22.65	33.46	19.81
21.8	26.41	21.44
18.77	22.71	14.15
33.7	12.28	22.4
15.79	31.18	26.61
25.2	20.66	15.64
41.55	20.79	21.74
24.79	22.26	29.88
17.03	13.32	15.31
17.16	25.51	18.29
29.26	32.59	23.56
22.76	9.35	26.08
26.17	26.16	19.63
18.3	20.14	21.48
19.68	25.2	31.04
17.13	21.03	26.7
15.31	25.87	31.26
39.74	24.07	26.49
21.85	31.66	11.38
16.92	16.05	22.83
33.19	21.95	26.34
21.2	17.86	16.9
22.48	18.41	19.09
19.8	23.99	25.71
23.54	29.93	20.51
20.25	30.24	34.18
41.1	20.44	18.38
31.1	23.92	17.73
15.12	24.79	26.5
25.02	22.74	15.31
25.84	36.24	19.19
20.07	23.41	17.82
33.37	23.62	15.6
23.41	19.1	27.31
33.19	23.8	22.55
15.3	30.43	17.27
17.61	21.35	23.24
30.61	27.83	35.28
36.88	25.79	13.98
20.58	13.66	18.67
17.09	32.04	22
15.97	18.19	25.59
28.9	14.43	24.98
27.05	15.81	25.53
16.92	17.14	23.15
18.71	26.04	32.1
29	22.25	30.55
45.71	13.29	27.33
20.28	33.04	21
18.94	30.21	13.97
22.92	24.49	20.55
18.94	31.56	16.73
26.89	15.54	22.42
19.5	20.38	22.17
27.62	22.18	4.68
18.85	26.83	25.56
15.01	19	22.45
23.08	22	36.27
30.4	15.36	21.11
23.9	18.49	27.32
27.74	35.77	32.27
20.52	30.84	16.92
17.59	20.68	11.99
20.1	12.9	26.71
15.54	23.95	31.99
33.51	17.67	21.63
26.97	19.92	19.97
19.59	23.08	15.58
14.56	32.54	18.49
14.59	21.19	26.98
14.65	19.06	20.55
20.41	12.59	11.62
23.95	28.03	14.12
23.56	14.41	10.26
17.37	12.56	34.14
20.88	21.19	28.4
17.73	12.94	26.72
22.88	19.82	12.74
20.11	27.71	23
16.68	9.94	18.73
18.22	18.4	26.46
15.91	20.4	15.87
22.73	26.94	29.08
20.8	26.8	8.48
18.9	30.96	22.54
27.03	23.91	24.43
17.64	32.35	16.36
16.4	9.19	11.64
39.58	26.68	30.47
19.93	23.8	20.59
20.45	26.59	31.89
34.17	28.71	19.85
21.91	20.28	21.71
16.81	27.79	25.36
26.49	19.44	22.31
27.75	29.51	28.62
19.33	28.31	24.25
27.23	17.58	24.87
33.93	22.35	18.88
17.38	19.74	17.78
18.35	10.55	24.07
16.15	26.2	18.54
33.41	30.18	20.67
18.89	12.25	21.71
18.12	22.45	27.89
22.69	24.21	25.12
22.37	26.11	25.5
15.55	18.86	28.58
18.84	24.49	23.51
17.55	25.84	29.48
25.85	17.92	25.05
16.15	17.98	30.34
14.98	32.55	21.96
23.64	20.9	26.81
22.24	22.94	27.19
21.71	18.84	22.06
24.57	29.93	17.52
20.71	26.94	17.4
19.71	25.62	22.09
27.55	14.38	20.28
22.58	25.63	24.04
17.48	22.56	23.09
15.57	16.39	13.7
21.01	20.05	18.73
24.62	21.23	22.59
23.38	23.95	20.77
19.84	35.4	15.58
23.62	28.58	18.64
28.97	18.03	20.02
14.54	29.17	25.11
24.06	22.13	15.18
18.68	24.8	21.71
21.72	9.25	21.98
25.33	16.59	13.28
27.5	23.05	26.93
17.44	12.99	15.14
28.19	17.84	24.04
16.58	13.82	22.67
29.17	19.44	21.25
16.78	20.28	26.16
14.66	9.04	30.33
15.38	22.35	30.63
16.36	11.37	16.14
26.08	27.4	13.25
17.62	17.97	7.58
17.5	22.29	24.37
22.12	20.8	24.02
24.36	37.5	28.11
17.37	22.24	19.26
29.69	22.51	35.76
29.91	15.29	18.2
18.58	21.86	23.41
13.71	10.46	20.96
20.67	22.07	17.33
18.23	22.43	21.82
20.9	18.69	15.08
29.63	27.29	17.34
30.98	30.75	22.85
24.17	29.3	20.98
19.13	11.15	20.25
34.99	21.76	31.43
26.59	20.95	26.2
21.11	21.22	20.39
24.74	18.38	20.74
19.71	22.1	20.34
19.19	19.62	31.36
32.1	23.33	18.38
16.12	20.11	16.13
28.63	22.24	14.25
20.82	9	19.92
20.66	27.34	5.79
23.61	16.61	27.37
18.87	25.1	25.86
15.53	16.31	18.79
16.57	12.3	16.98
18.52	15.12	21.04
18.47	25.71	18.68
24.02	24.23	19.99
24.77	18.96	20.39
18.01	14.84	30.22
44.24	19.4	17.88
15.86	13.95	29.79
21.65	33.97	22.23
24.8	19.88	27.29
23.26	29.33	25.93
19.32	19.49	30.17
13.69	27.65	12.05
17.13	16.46	16.95
28.27	14.46	17.22
17.43	23.43	20.23
15.53	24	23.8
20.59	20.32	25.52
31.83	19.48	27.56
21.84	29.78	15.62
33.78	19.26	22.18
31.54	34.76	17.47
21.06	20.01	19.99
18.29	17.73	30.08
15.1	24.76	24.72
19.64	19.77	21.25
23.5	24.78	29.72
23.29	36.82	20.58
15.51	15.06	26.47
25.55	27.29	22.1
28.32	28.48	20.29
15.58	37.23	14.56
19.84	32.62	31.67
27.86	26.77	19.38
43.43	15.52	20.37
39.86	20.99	25.57
19.87	25.93	20.58
22.54	8.83	27.73
37.78	22.58	18.54
21.18	25.91	18.87
17.23	13.53	29.19
21.44	27.87	19.56
22.88	19.7	33.73
19.8	30.62	25.35
19.79	14.67	23.51
20.71	29.06	22.86
14.55	20.68	13.6
24.15	19.29	15.61
26.39	21.92	20.33
18.84	14.44	16.57
21.1	21.74	16.82
23.55	21.6	24.2
19.34	20.93	23.22
18.6	16.6	21.28
14.4	23.02	15.35
19.23	20.45	28.15
28.85	28.39	6.87
17.74	16.19	19.14
16.07	32.55	22.88
15.2	19.96	32.83
17.59	18.96	20.87
19.98	15.33	17.82
17.17	25.5	28.85
28.01	23.4	16.92
17.29	29.82	21.84
15.59	15.54	24.93
24.25	19.53	24.38
21.02	15.2	20.44
20.05	19.29	19
37.13	17.69	25.87
19.27	21.74	34.62
22.72	13.42	14.69
19.39	11.08	17.78
32.96	25.34	21.04
28.39	35.63	20.08
27.23	24.78	33.8
15.12	30.46	9.4
17.22	20.44	21.33
17.94	21.61	29.75
14.45	18.44	17.64
26.48	11.58	27.35
22.88	10.66	28.49
19.71	18.22	25.44
25.23	29.31	7.59
19.32	29.64	17.49
16.43	26.47	28.19
24.4	12.58	27.53
26.1	38.81	14.67
19.9	27.69	27.11
14.62	21.93	23.24
32.3	14.78	19.96
15.66	19.58	33.92
22.36	30.49	18.33
19.33	21.54	24.83
22.43	17.99	21.88
21.67	25.58	35.9
26.53	17.18	20.25
25.51	18.78	18.29
19.86	25.92	30.44
17.44	6.99	26.71
13.66	19.52	23.3
18.97	34.57	18.38
16.21	32.24	17.94
19.49	19.09	28.76
23.64	32.21	18.03
20.32	21.02	20.6
17.43	21.69	22.52
14.14	19.43	9.76
22.93	30.62	24.45
36.49	24.61	22.28
18.38	25.61	32.45
22.99	18.72	20.59
29.85	18.4	20.92
47.45	21.15	16
30.69	28.75	27.38
20.14	18.55	16.85
26.37	30.13	26.26
15.81	20.11	13.75
22.59	14.55	22.37
34	17.42	26.41
25.71	28.29	28.87
21.2	21.58	35.4
25.06	15.36	24.59
20.23	15.8	20.67
15.66	23.26	16.49
18.95	22.65	20.28
30.94	19.64	10.99
23.58	16.33	30.82
13.76	21.5	6.41
31.66	18.28	24.92
19.87	10.86	20.95
30.3	31.57	21.68
28.25	12.82	19.68
21.6	13.93	22.01
20.31	17.54	26.44
20.56	14.09	18.81
23.56	19.74	16.95
19.08	15.06	21.5
30.95	27.04	23.61
19.06	27.8	23.7
14.52	20.02	16.5
17.02	36.56	13.44
20.59	24.56	21.56
20.2	19.19	23.1
24.69	14.4	19.42
43.5	14.51	9.05
16.99	14.8	16.21
23.14	12.92	22.06
25.11	23.5	20.49
18.5	26.8	30.31
17.35	10.7	29.7
23.77	28.65	19.72
26.76	14.53	16.65
25.11	24.61	29.83
19.51	22.49	24.48
15.73	16.71	21.8
31.37	21.15	26.97
17.01	16.96	21.72
20.32	31.28	18.04
14.26	24.07	25.5
20.78	22.06	23.11
18.65	30.13	26.36
32.6	27.27	16.86
22.34	10.9	34.89
16.7	25.03	17.93
16.24	12.57	23.92
31.18	25.1	30.67
24.89	21.95	24.83
14.64	21.06	14.82
20.94	17.91	17.88
19.8	30	23.45
26.52	27.81	20.46
18.07	13.49	21.7
16.51	16.89	22.57
15.14	30.92	13.56
24.29	25.4	25.94
33.39	18.09	24.75
17.63	28.54	17.09
46.36	23.87	13.96
20.81	22.97	22.98
17.74	18.81	23.62
20.46	22.78	26.77
21.03	19.73	26.25
16.67	22.39	21.78
25.2	13.99	16.81
23.1	18.88	4.14
18.39	29.01	21.19
21.93	26.19	27.39
17.6	18.63	18.49
22.49	22.12	14.06
16.13	18.12	23.12
19.25	7.39	29.8
16.03	18.15	23.95
38.47	18.89	27.74
26.97	22.49	15.98
31.42	14.02	15.4
15.89	19.36	29.32
33.18	21.49	21.43
24.66	17.99	10.71
21.06	15.02	32.32
18.63	28.07	19.49
34.61	22.99	26.33
19.8	17.38	16.46
23.91	26.94	21.37
20.18	25.36	30.34
17.22	30.05	25.52
17.25	25.21	22.9
16.21	18.12	14.58
23.07	28.56	19.55
21.64	30.54	24.79
19.55	6.66	24.55
23.01	22.59	23.99
20.5	32.74	19.32
36.84	17.85	18.99
21.62	27.72	23.47
21.08	23.06	18.87
25.31	25.46	18.98
19.13	17.31	28.05
33.3	15.95	27.95
25.34	14.48	16.64
15.37	20.85	24.24
16.3	26.43	24.22
38.57	18.64	24.44
28.74	19.35	7.71
22.19	22.52	10.65
22.73	28.14	24.79
22.72	18.12	21.96
34.93	4.39	25.93
18.67	20.02	20.66
16.28	27.81	28.92
17.03	19.3	30.02
16.25	4.91	18.41
25.52	19.83	20.75
23.17	11.57	22.46
16.82	29.17	15.17
20.86	24.47	22.73
14.08	24.27	24.73
18.54	24.33	17.3
15.12	18.89	28.82
21.84	31.63	30.24
25.6	21.85	24.02
33.37	22.59	21.28
16.52	26.48	18
15.36	29.96	19.21
23.13	13.66	15.7
18.36	24.59	20.34
21.47	21.68	18
18.54	16.44	26.09
33.13	27.41	24.82
25.64	12.41	19.01
18.02	18.02	23.7
21.72	15.72	27.39
23.83	26.21	14.62
18.24	22.52	27.46
18.66	21.53	22.63
20.57	16.62	21.65
24.67	23.26	30.11
31.34	25.28	33.85
23.98	18.88	25.04
14.93	26.7	28.86
26.35	24.59	21.19
14.61	13.71	22.64
16.28	26.6	20.33
27.32	19.53	28.03
27.39	23.93	23.96
30.06	27.39	27.83
35.09	21.24	27.53
32.03	13.3	29.09
19.42	24.18	26.96
13.65	19.85	29.94
17.53	28.77	21.93
20.97	24.97	19.96
16.51	9.27	24.99
19.58	28.52	18.29
14.6	25.94	19.55
25.67	12.95	15.08
21.28	24.7	34.79
29.48	16.17	21.38
19.76	21.82	9.89
16.18	21.26	27.59
23.79	24.65	17.46
23.89	20.37	17.8
14.56	16.77	19.87
23.95	20.54	22.25
18.32	19.92	25.61
20.1	22.06	19.93
20.86	17.71	19.76
18.34	14.47	16.81
14.89	18.67	20.58
27.83	27.99	22.29
30.73	12.69	23.58
15.88	13.18	32.83
18.19	22.22	19.2
21.18	22.75	19.92
22.29	13.67	31.1
24.59	29.13	20.15
21.88	38.19	11.89
25.23	21.08	9.1
31.55	16.56	30.82
20.51	20.97	16.37
22.22	12.56	29.97
27.37	25.62	15.05
19.36	23.1	20.1
15.4	31.57	16.8
21.12	23.5	26.61
38.22	23.14	28.91
17.37	25.21	17.3
18.23	30.33	17.51
21.63	20.42	22.13
21	26.01	18.49
28.95	34.06	21.1
18.77	24.3	16.25
26.64	11.32	22.35
27.12	17.6	15.34
36.49	16.82	14.01
38.51	23.39	15
49.82	25.74	15.37
22.86	15.41	23.39
20.58	17.88	18.11
19.32	10.84	19.53
17.2	20.73	17.08
15.85	26.85	22.47
15.16	16.56	30.31
14.61	21.87	30.43
24.24	20.2	20.88
19.13	21.22	20.78
29.53	22.21	16.69
18.18	25.42	24.59
14.86	24.01	26.18
15.22	29.49	40.58
17.06	14.38	35.6
19	17.51	19.55
45.52	22.98	30.84
23.71	18.56	22.53
17.35	23.83	12.62
21.95	24.19	23.62
19.62	19.05	32.41
15.77	25.95	15.54
16.09	28.1	21.7
15.66	18.8	18.42
20.71	30.39	23.13
13.41	22.98	23.2
27.52	26.24	18.47
16.3	20.14	15.62
17.95	21.96	16.52
18.46	19.61	20.23
29.3	8.2	17.55
28.27	25.98	20.01
28.55	25.08	10.74
28.75	22	27.64
18.56	24.47	20.44
30.21	14.13	36.68
35.47	17.34	18.38
23.66	18.29	10.87
23.49	26.23	19.52
24.18	20.63	12.17
17.58	21.86	17.63
17.5	12.74	18.6
16.72	23.72	20.9
20.41	21.4	22.78
31.93	22.84	27.31
18.73	19.81	24.44
33.22	29.06	32.17
23.06	24.02	33.16
18.86	24.38	27.98
17.1	12.7	20.56
14.73	23.98	19.11
23.13	23.13	20.4
27.45	21.25	22.77
25.59	25.5	20.52
18.21	21.66	11.4
27.21	19.04	24.52
21	14.9	11.42
22.75	30.89	16.79
17.38	28.38	27
21.42	25.23	21.83
15.16	15.14	13.25
29.54	25.8	34
19.94	21.48	22.15
25.1	19.43	16.83
29.25	26.58	29.32
17.9	33.09	19.51
15.28	29.28	26.58
18.1	23.03	15.19
20.95	16.03	27.73
24.53	8.52	27.75
19.03	32.39	27.86
16.88	11.62	19.31
21.79	19.71	20.96
31.37	11.1	23.82
22.47	20.21	8.77
24.71	22.63	20.29
21.57	16.05	32.04
27.49	19.06	24.87
16.48	18.42	21.78
15	14.96	18.02
16.82	18.86	33.79
14.34	22.92	27.51
19.04	27.73	27.1
17.29	17.48	16.87
23.16	34.77	31.5
19.59	23.5	30.54
16.37	10.42	28.55
14.21	26.37	20.13
14.95	20.18	19.09
49.72	15.89	20.34
23.43	21.82	35.57
20.41	30.62	18.44
17.31	11.1	21.95
18.37	19.58	18.28
33.29	26.8	17.64
27.51	19.24	19.61
15.67	18.24	22.22
21.91	16.5	33.51
21.71	20.9	22.6
14.7	25.59	25.11
16.77	26.38	17.18
20.93	14.38	23.63
17.61	20.71	23.43
20.74	21.31	26.53
15.59	19.24	26.46
22.51	28.95	17.66
17.12	20.41	15.29
17.99	11.15	25.28
23.97	19.85	16.76
18.71	26.63	23.2
19.2	17.59	9.71
21.74	21.86	29.53
29.3	22.52	13.71
31.93	24.81	18.72
22.33	17.75	27.34
22.68	26.36	15.32
18.73	28.85	23.96
26.56	18.24	19.52
20.9	28.95	14.35
15.5	20.68	31.28
25.35	18.81	16.52
25.86	15.89	19.4
20.4	17.54	19.57
43.47	18.61	26.06
20.33	30.58	20.09
27.81	16.75	35.14
13.96	19.67	15.26
23.41	16.19	12.37
36.23	8.44	27.64
25.55	29.9	30.66
20.58	22.01	16.61
19.09	21.92	26.92
19.14	18.9	22.42
19.63	21.19	20.23
13.39	14.44	28.55
18.76	17.27	29.46
23.15	27.66	18.25
22.65	22.24	31.15
18.26	19.24	13.12
25.4	16.59	22.92
40.07	17.89	28.19
19.31	30.68	35.69
30.47	15.71	21.87
24.91	25.75	20.09
26.82	16.12	22.01
26.41	18.34	17.63
16.05	19.26	19.08
32.22	17.72	20.48
14.34	32.35	22.72
27.3	25.15	23.9
17.6	26.14	14.58
22.3	26.43	32.17
27.13	21.85	28.3
17.8	24.63	18.37
14.69	22.28	32.49
21.22	26.23	22.56
34.33	32.38	24.18
28.48	15.79	23.09
19.89	8.56	28.76
22.05	31.93	20.45
16.36	29.9	20.6
21.02	18.84	18.59
17.77	32.18	18.22
29.34	22.97	27.59
18.07	24.01	22.48
18.57	26.52	22.32
23.45	34.06	22.87
18.34	18.92	13.63
22.21	20.38	20.16
22.5	19.82	21.84
16.27	24.31	29.21
28.05	28.73	25.84
25.06	24.43	18.3
16.42	18.98	32.43
18.68	30.74	30.9
17.48	7.32	13.87
22.03	26.06	21.57
15.67	11.38	17.86
18.83	18.45	16.33
17.97	21.46	19.98
22.86	22.46	15.48
20.76	18.49	15
16.95	23.06	17.45
20.37	27.7	21.64
18.38	25.55	21.72
14.78	24.75	28.21
16.45	29.83	18.53
37.44	11.56	8.36
21.49	27.33	31.07
20.53	23.02	25.66
31.21	18.54	8.93
22.98	15.32	26.07
17.12	15.76	23.82
20.76	20.13	28.7
33.82	26	19.24
28.09	25.74	36.98
20.15	15.62	17.28
31.47	28.92	21.79
21.81	17.52	27.93
16.44	26.11	14.99
19.21	20.8	21.66
18.15	21.69	21.89
25.7	26.37	4.28
27.38	23.89	13.23
28.68	31.19	16.31
20.08	15.56	7.32
18.98	16.46	24.13
18.66	22.48	26.18
32.62	28.09	23.28
19.68	22.85	29.51
17.08	20.11	18.22
17.91	24.14	13.57
18.74	17.9	20.96
22.09	31.03	26.01
15.18	20.24	21.94
28.22	32.94	25.36
26.36	22.96	33.02
22.23	19.22	21.96
13.97	32.41	25.8
35.72	26.52	26.68
18.8	22.76	26.64
38.74	21.88	14.84
21.73	19.16	20.15
19.35	27.04	39.41
25.6	20.85	14.49
18.98	25.7	18.02
17.31	16.86	15.18
19.55	24.78	23.56
18.87	14.19	16.34
32.61	25.66	17.21
21.01	26.02	20.01
15.55	21.4	16.11
28.28	19.94	14.29
25	19.5	21.42
15.74	14.17	27.77
22.66	15.37	24.27
33.6	18.78	21.78
23.56	20.33	36.29
21.11	19.67	8.73
17.93	20.14	32.4
16.47	22.8	5.71
17.64	11.21	6.93
17.01	22.21	21.73
19.21	29.82	26.34
17.51	26.02	32.18
17.36	29.42	14.44
29.79	29.09	29.68
30.42	27.48	27.88
16.51	29.94	20.08
16.21	22.9	12.09
17.57	20.52	31.1
15.58	18.84	21.27
16.81	19.15	19.23
26.49	16.68	22.67
22.61	16.02	18.06
16.19	17.86	27.04
26.05	23.26	29.33
21.4	25.57	25.17
26.76	17.12	32.05
23.74	18.46	20.91
15.45	26.08	29.39
15.03	24.55	30.11
18.85	22.5	9.95
27.38	18.05	13.62
17.08	9.75	21.85
22.95	25.84	25.31
28.38	23.98	21.41
25.01	20.43	16.85
15.87	21.29	13.6
26.12	26.62	23.62
13.77	22.29	15.6
24.5	13.25	18.77
24.35	7.27	20.88
17.61	25.62	20.63
39.91	31.53	18.7
24.06	21.35	18.37
17.19	19.79	14
18.86	22.22	24.28
35.47	18.68	19.82
13.98	16.23	26.22
19.46	21.01	26.94
16.68	23.22	33.35
17.57	19	30.25
31.35	12.99	23.39
20.6	35.65	33.26
20.48	32.82	13.99
24.33	9.92	19.97
38.13	16.65	22.91
16.08	29.45	13.79
16.61	20.72	28.47
18.52	22.97	16.59
16.71	28.02	22.75
34.93	28.51	21.88
33.24	14.07	23.29
16.86	17.81	19.96
15.23	30.92	19.91
24.08	24.12	18.06
21.81	11.36	23.22
14.92	16.04	35.26
21.42	13.25	27.29
15.26	20.28	10.04
19.12	28.57	13.72
20.4	25.43	24.96
18.46	16.36	19.05
28.09	21.64	18.47
24.3	22.91	18.59
23.41	16.14	20.65
29.12	12.42	20.2
20.93	23.55	16.08
17.49	19.34	21.45
17.11	23.63	13.91
19.03	19.57	22.42
13.5	31.58	19.78
18.08	11.69	23.95
16.63	18.06	18.13
16.31	14.83	14.63
19.55	17.46	20.06
16.6	20.56	20.02
18.84	22.29	19.72
24.01	18.16	19.58
16.31	20.78	26.5
18.16	19.3	20.08
16.81	24.55	15.1
15.96	24.72	21.86
17.93	21.28	17.71
13.83	20.83	24.67
24.42	24.32	22.87
17.83	27.33	15.5
18.58	28.71	23.23
22.67	14.54	14.84
21.99	20.67	18.64
18.64	18.75	23.06
17.35	17.72	21.09
19.31	17.11	32.1
20.63	18.27	32.44
20.53	17.15	22.52
17.34	23.28	26.16
20.13	28.93	15.35
17.28	13.79	27.47
32.61	20.91	26.32
16.24	26.5	26.41
16.4	26.21	25.25
15.22	23.9	36.52
20.44	11.24	35.7
21.31	22.23	17.33
28.58	22.89	13.87
17.27	24.14	15.95
22.51	21.5	20.76
23.46	26.86	27.82
26	16.96	20.18
14.17	22.26	16.3
17.61	31.89	31.94
16.7	19.26	22.52
21.44	24.71	27.41
18.19	15.98	13.01
19.39	28.63	24.57
24.25	17.24	27.59
19.61	30.51	25.32
16.09	20.84	33.87
14.66	14.6	25.87
29.45	12.37	21.63
22.97	27.99	22.58
15.96	23.85	25.19
19.95	28.05	29.01
23.65	31.49	34.64
29.85	31.31	13.72
16.03	23.69	32.08
15.02	10.02	22.37
20.8	24.9	33.12
14.42	26.84	23.28
24.89	25.96	28.15
23.3	26.67	20.94
14.08	22.87	26.08
21.12	19.66	18.96
17.72	20.27	28.27
20.73	9.5	23.01
48.49	29.75	22.62
17.27	19.34	20.88
13.93	17.3	20.37
14.79	19.76	27.48
16	13.53	24.46
26.82	17.85	30.32
29.2	23.97	28.06
35.37	9.92	20.24
34.89	29.99	20.53
30.01	23.22	24.61
24.03	29.32	30.35
24.35	32.92	27.79
18.56	22.07	17.96
17.04	14.71	20.39
16.63	26.51	31.14
19.27	32.54	26.17
19.18	20.74	24
25.96	20.9	17.39
15.66	31	16.43
20.11	32.1	15.15
17.26	21.38	11.56
15.82	18.39	12.58
13.9	20.56	19.61
23.82	17.89	8.29
18.97	22.27	25.84
16.97	11.24	9.63
26.36	26.06	21.19
28.5	27.71	27.29
17.68	20.19	30.77
20.37	36.18	19.33
26.12	8.68	21.94
15.57	26.17	23.25
24.01	26.88	16.5
30.33	23.11	26.63
20.38	24.07	22.6
36.59	25.13	19.73
19.34	7.44	21.4
16.35	23.4	29.46
29.95	14.01	18.41
18.46	37.38	26.93
20.33	19.73	17.51
22.62	27.07	15.28
19.59	23.04	16.44
30.46	17.68	35.48
13.29	27.06	27.99
16.62	23.65	28.86
24.64	27.62	25.92
13.95	28.12	26.91
25.47	25.69	20.81
16.49	20.39	23.36
16.64	18.26	27.92
17.39	12.35	18.24
19.92	5.75	20.31
14.47	25.84	18.68
22.2	28.95	21.71
19.6	11.1	15.55
23.82	22.37	30.04
17.62	29.72	21.46
34.83	23.31	12.61
18.51	17.1	21.36
17.06	14.87	20.78
24.39	18.36	23.1
21.53	29.07	24.29
16.54	21.9	26.93
15.03	23.53	29.83
19.31	19.72	12.64
19.91	27.45	18.58
29.67	17.15	20.67
19.91	13.77	17.66
16.02	17.38	14.62
16.94	28.66	15.72
26	19.37	23.64
18.1	19.1	21.91
19	16.91	32.25
15.33	25.58	31.68
19.75	21.88	19.36
22.51	18.38	28.06
36.38	26.81	16.7
28.2	18.87	30.18
25.59	21.12	19.58
20.1	20.9	25.77
26.01	21.29	21.47
16.98	29.75	19.71
14.49	21.35	16.81
19.92	21.61	24.45
20.95	19.26	17.5
25.78	18.58	30.05
17.28	21.39	13.71
25.95	10.43	19.49
15.85	35.99	15.43
32.79	33.49	17.84
18.31	20.25	20.94
20.24	16.09	17.64
14.44	27.09	18.61
25.07	25.95	22.82
16.25	20.24	17.13
36.79	16.68	12.81
13.96	31.98	30.12
25.56	23.18	24.22
17.96	17.67	32.79
15.51	25.47	16.97
24.64	36.06	16.3
15.83	27.25	23.32
31.15	18.52	21.41
13.33	21.42	14.88
27.35	17.87	21.82
22.53	24.58	19.31
20.32	24.34	12.15
16.92	22.26	27.41
29.4	20.07	8.78
15.81	22.27	17.38
27.71	21.64	16.56
26.43	25.37	23.57
19.85	22.56	23.37
36.8	27.75	9.25
23.21	23.1	7.96
13.33	16.89	20.57
32.24	24.04	25.22
26.33	29.34	15.25
14.6	27.91	12.27
32.89	22.3	13.08
25.12	22.87	31.43
41.47	23.52	10.46
18.22	5.45	22.87
24.12	23.62	15.89
19.01	26.08	21.25
20.56	20.27	16.25
21.38	21.26	17.07
17.77	22.49	26.82
22.82	27.48	24.01
33.53	36.51	26.01
24.27	20.87	24.02
23.79	16.4	19.79
13.06	20.6	13.31
16.02	28.79	22.36
14.28	22.65	24.22
15.08	18.4	23.55
23.54	20.98	10.79
27.13	15.43	21.39
26.39	20.06	15.68
21.99	19.26	30.28
23.18	12.06	31.67
16.21	25.45	28.53
23.37	28.28	25.62
15.64	21.32	19.62
29.31	13.23	25.8
18.39	21.97	23.68
18.12	31.3	11.99
24.65	25.72	20.22
21.65	17.67	17.16
23.33	18.29	27.61
29.51	21.53	24.54
25.95	26.59	20.32
19.34	20.43	19.45
18.93	23.94	20.14
33.51	16.12	20.38
29.63	22.28	21.24
20.13	17.49	27.28
18.48	22.78	21.68
22.79	16.11	14.94
16.32	20.58	26.26
15.04	25.11	22.67
37.33	21.93	29
18.56	15.76	26.73
34.48	17.95	20.49
21.79	28.02	23.39
18.2	19.53	22.28
25.81	18.96	16.75
27.79	33.58	24.64
19.99	11.31	15.26
16.73	22.62	14.21
19.37	12.97	27.91
32.41	13.93	28.13
17.64	15.29	22.24
18.32	20.86	22.47
27.79	20.6	17.21
22.6	23.99	25.69
18.53	16.8	15.31
21.13	26.16	32.31
20.58	25.84	22.3
20.54	25.71	19.65
19.62	19.52	13.97
18.09	22.25	25.09
21.5	16.36	26.33
24.43	16.02	12.7
29.69	30.89	15.55
16.24	19.78	27.67
23.54	17.41	16.98
14.22	17.28	22.1
18.48	14.63	22.26
26.48	25.23	22.7
22.74	21.92	25.52
22.51	33.36	15.22
21.47	22.85	13.1
17.72	15.58	31.7
17.32	22.75	23.38
22.46	23.64	21.92
18.15	26.92	17.55
16.95	19.72	13.76
32.53	21.37	12.43
31.75	25.22	21.76
15.6	13.22	15.21
16.43	23.62	22.07
19.08	17.24	25.91
15.45	27.3	13.21
20.77	27.52	21.14
23.17	23.25	23.41
17.71	21.96	8.44
24.83	16.73	24.76
19.79	23.9	23.39
20.54	19.79	10.09
17.47	33.79	5.09
14.18	18.41	15.65
32.9	20.26	17.02
18.49	22.11	17.93
19.07	25.95	20.59
22.36	19.13	27.51
20.29	18.27	15.45
17.3	16.44	17.66
24.05	27.64	25.27
19.24	23.76	16.36
13.83	-1.34	20.3
38.06	22.11	22.01
28.56	19.31	13.76
35.03	24.35	17.9
29.16	8.13	14.77
34.05	24.38	19.33
20.09	18.18	22.88
26.23	23.67	13.99
14.49	17.73	21.89
17.27	29.98	17.16
20.28	18.68	26.71
18.85	15.38	26.99
29.12	37.7	27.68
14.93	18.65	21.85
17.5	26.58	25.63
31.25	23.95	16.43
15.93	27.48	23.31
21.71	24.28	22.53
14.96	25.04	36.1
